dive,startTime,startLatitude,startLongitude,endTime,endLatitude,endLongitude,duration_hr,distance_km,maxDepth_m,dac_n,dac_e,dac_n_gsm,dac_e_gsm,dac_qc,avg_speed_n,avg_speed_e,avg_speed_n_gsm,avg_speed_e_gsm,hdm_qc
49,1770404292,21.4177166666667,-158.34135,1770423529,21.4516833333333,-158.365933333333,5.34361111111111,4.55406281292364,878.676809299186,0.0499335782763305,-0.0296374058716598,0.0360256603834037,-0.043162533812086,4,0.146694434992771,-0.102829008280051,0.160602352885698,-0.0893038803396254,1
50,1770425614,21.4570666666667,-158.366166666667,1770442230,21.47945,-158.392816666667,4.61555555555556,3.71481756925611,842.495220533595,0.00478130375861116,0.0144306116061589,0.018159733113144,0.0285944230981872,1,0.145241643530021,-0.180658061845208,0.131863214175488,-0.194821873337236,1
51,1770442831,21.4798833333333,-158.391266666667,1770458790,21.5094333333333,-158.416466666667,4.43305555555556,4.19454365700675,844.635691765344,0.064046609609415,-0.00385112119167587,0.0408131551810274,0.00484116224435558,1,0.142163732076712,-0.159773007307374,0.1653971865051,-0.168465290743405,1
52,1770459784,21.50945,-158.4166,1770476531,21.4879333333333,-158.40675,4.65194444444444,2.600531955654,844.127408641249,0.0500142672860058,-0.0322840822665185,0.0462696620510897,-0.0587131851289865,1,-0.193098832047745,0.0932287668559364,-0.189354226812828,0.119657869718404,1
53,1770477122,21.4858166666667,-158.4071,1770493586,21.4552666666667,-158.39065,4.57333333333333,3.79963273350453,840.37313073377,-0.0518251598068914,-0.00301172027167698,-0.0625215290416869,-0.0120515652207032,1,-0.154824238291078,0.106562798302381,-0.144127869056283,0.115602643251408,1
54,1770499315,21.4577,-158.404483333333,1770515767,21.4451333333333,-158.38235,4.57,2.68320009813601,836.140094195014,0.0430840061062456,-0.0335619752740588,0.0558830609612568,-0.0290752536695591,1,-0.128150741195422,0.173009007285056,-0.140949796050433,0.168522285680556,1
55,1770516549,21.4455,-158.385,1770533107,21.42685,-158.365016666667,4.59944444444444,2.92892455201512,843.523027597698,0.0154637569895247,-0.0204897309032368,0.01818569829592,-0.00207125798770036,1,-0.140901268948866,0.145597617199159,-0.143623210255261,0.127179144283622,1
56,1770533912,21.4276333333333,-158.3659,1770549787,21.4139,-158.351783333333,4.40972222222222,2.11359424612456,841.65093532928,0.0725525313342326,-0.0646439972931339,0.0773097762678467,-0.061725635031897,1,-0.168896146134353,0.156835975131584,-0.173653391067967,0.153917612870348,1
57,1770550291,21.4158,-158.353133333333,1770566527,21.3998166666667,-158.334116666667,4.51,2.65222848215172,842.239395060349,0.0503257765951518,-0.0235404986959293,0.0411819877627115,-0.0135635560404539,1,-0.159960442025389,0.144982090377291,-0.150816653192949,0.135005147721816,1
58,1770567365,21.40085,-158.334366666667,1770583234,21.3824,-158.313366666667,4.40805555555556,2.98933186625574,839.341197228452,0.0251052214595355,0.0109505979268596,0.0363709345752491,-0.00905665074735631,1,-0.15458793137396,0.126275051359371,-0.165853644489674,0.146282300033587,1
59,1770583771,21.38385,-158.31455,1770603726,21.3622,-158.305183333333,5.54305555555556,2.59540597871757,991.194421725368,0.0627731954420456,-0.033019397065678,0.0612484669143053,-0.0355933223928061,1,-0.183590308251845,0.0816950077718134,-0.182065579724104,0.0842689330989415,1
60,1770604748,21.3631333333333,-158.30715,1770625290,21.3406,-158.28415,5.70611111111111,3.45711504705908,990.568553263435,0.0439093333751643,0.00939495386611457,0.043845589395742,0.0109334758954786,1,-0.166061856452433,0.106729412714465,-0.16599811247301,0.105190890685101,1
61,1770626506,21.3435,-158.286683333333,1770644708,21.3164666666667,-158.275316666667,5.05611111111111,3.22830902376513,992.461399820822,0.0357950046394509,-0.0384343323860352,0.039982279341282,-0.0425334047031885,1,-0.201187386538697,0.103213051390932,-0.205374661240528,0.107312123708086,1
62,1770646014,21.3193333333333,-158.279116666667,1770664789,21.2903333333333,-158.24595,5.21527777635362,4.71211335127734,991.228510657013,-0.0200850952764839,0.01167033702231,-0.0268975705158718,0.0205565771153202,1,-0.151922711972331,0.171607397709796,-0.145110236732943,0.162721157616785,1
63,1770668100,21.2984,-158.25475,1770685206,21.2663166666667,-158.221166666667,4.75166666666667,4.98346252232709,997.929685964055,0.0246873012573881,-0.0312531476437491,0.0188901225692897,-0.0190357428837808,1,-0.233561833394565,0.234982650421369,-0.227764654706467,0.222765245661401,1
64,1770688473,21.2688833333333,-158.228333333333,1770705904,21.23605,-158.186,4.84194444444444,5.70753126614881,995.203866732955,0.0138170607738924,0.00703405942610683,-0.0012117785088089,0.0279027972104933,1,-0.223584198996721,0.245033671367434,-0.20855535971402,0.224164933583048,1
